N , N_INPUTS, Area(um^2), Power(mW)           , Throughput(Gops/s), Slack(ps), Min_Period(ns)
 8,        4,   1699.398,   0.805327          ,  6.622516556291392,       0.0,          0.604
 8,        4,   1699.398,   0.805327          ,  6.622516556291392,       0.0,          0.604
 8,        8,   3216.852,   1.3412000000000002, 13.245033112582783,       0.0,          0.604
 8,       16,   6255.18 ,   2.41194           , 26.490066225165567,       0.0,          0.604
16,        4,   5789.171,   1.98716           ,  5.578800557880055,       0.0,          0.717
16,        8,  11219.789,   3.6925            , 11.15760111576011 ,       0.0,          0.717
16,       16,  22060.847,   7.109640000000001 , 22.31520223152022 ,       0.0,          0.717
64,        4,  85088.095,  24.7714            ,  4.524886877828054,       0.0,          0.884
64,        8, 189366.289,  58.1402            ,  9.049773755656108,       0.0,          0.884
64,       16, 365530.985, 111.942             , 18.604651162790695,       0.0,          0.86
